,location_x,location_y,time,statsbomb_xg,outcome,player,team,bodypart,technique,first_touch,state_of_play,assist,assist2,assist3,assist_state_of_play,inside_18_width,inside_18_depth,inside_18,shot_distance,shot_angle,bodypart_angle,significant_time
0,90.8,19.0,2023-06-24 00:10:08.014,0.0068775634,Saved,Souvik Chakrabarti,Hyderabad,Right Foot,Normal,False,Open Play,Ground Pass,,,From Free Kick,False,False,False,35.96720728663821,54.28,Left - Inside Foot,Stoppage Time
1,111.8,39.3,2023-06-24 00:13:50.965,0.19758572,Off T,Jorge Rolando Pereyra Díaz,Kerala Blasters,Head,Normal,False,Open Play,High Pass,,,From Free Kick,True,True,True,8.229823813423959,85.12,Left - Head,Stoppage Time
2,93.9,49.1,2023-06-24 00:20:16.861,0.03577913,Off T,Rahul Kannoly Praveen,Kerala Blasters,Right Foot,Normal,False,Open Play,Ground Pass,,,From Free Kick,True,False,False,27.640911707105463,109.22,Right - Outside Foot,Stoppage Time
3,90.2,18.8,2023-06-24 00:29:18.678,0.006838626,Blocked,Adrián Nicolás Luna Retamar,Kerala Blasters,Right Foot,Normal,False,Open Play,,,,From Free Kick,False,False,False,36.57157366042648,54.57,Left - Inside Foot,Stoppage Time
4,104.5,55.9,2023-06-24 00:38:25.380,0.031175608,Post,Álvaro Vázquez García,Kerala Blasters,Right Foot,Normal,True,Open Play,Ground Pass,,,From Free Kick,True,True,True,22.204954402114858,135.73,Right - Outside Foot,Stoppage Time
5,111.0,24.9,2023-06-24 00:38:27.960,0.041324764,Wayward,Jorge Rolando Pereyra Díaz,Kerala Blasters,Left Foot,Half Volley,True,Open Play,,,,From Free Kick,True,True,True,17.578680269007684,30.8,Left - Outside Foot,Stoppage Time
6,89.3,50.8,2023-06-24 00:40:47.402,0.018697426,Off T,Lalthathanga Khawlhring,Kerala Blasters,Left Foot,Normal,False,Open Play,,,,From Free Kick,True,False,False,32.544277530773364,109.38,Right - Inside Foot,Stoppage Time
7,110.7,33.2,2023-06-24 00:45:40.350,0.07827923,Saved,Javier Siverio Toro,Hyderabad,Head,Normal,False,Open Play,High Pass,,,From Free Kick,True,True,True,11.520850663036992,53.83,Left - Head,Stoppage Time
8,88.7,45.9,2023-06-24 00:03:05.926,0.023992674000000002,Saved,João Victor de Albuquerque Bruno,Hyderabad,Right Foot,Normal,False,Open Play,Ground Pass,,,From Free Kick,True,False,False,31.85121661726597,100.67,Right - Outside Foot,Stoppage Time
9,106.7,48.5,2023-06-24 00:09:52.953,0.09305495,Off T,Bartholomew Owogbalor Ogbeche,Hyderabad,Right Foot,Normal,False,Open Play,Low Pass,,,From Free Kick,True,True,True,15.78416928444446,122.58,Right - Outside Foot,Stoppage Time
10,92.6,33.0,2023-06-24 00:13:44.127,0.032857098,Off T,Lalthathanga Khawlhring,Kerala Blasters,Left Foot,Normal,False,Open Play,Ground Pass,,,From Free Kick,True,False,False,28.280028288528996,75.67,Left - Outside Foot,Stoppage Time
11,102.2,47.3,2023-06-24 00:16:52.760,0.053034723000000006,Saved,Bartholomew Owogbalor Ogbeche,Hyderabad,Right Foot,Normal,False,Open Play,Ground Pass,,,From Free Kick,True,True,True,19.238762953994726,112.3,Right - Outside Foot,Stoppage Time
12,102.9,41.5,2023-06-24 00:19:33.421,0.03701639,Blocked,Javier Siverio Toro,Hyderabad,Right Foot,Normal,False,Open Play,Ground Pass,,,From Free Kick,True,True,True,17.165663401103956,95.01,Right - Outside Foot,Stoppage Time
13,99.0,51.6,2023-06-24 00:22:55.649,0.061114587000000005,Goal,Rahul Kannoly Praveen,Kerala Blasters,Right Foot,Normal,False,Open Play,Ground Pass,,,From Free Kick,True,False,False,23.990831582085686,118.92,Right - Outside Foot,Stoppage Time
14,106.4,26.4,2023-06-24 00:25:26.364,0.032599345,Blocked,Halicharan Narzary,Hyderabad,Right Foot,Normal,True,Open Play,Ground Pass,,,From Free Kick,True,True,True,19.23330444827409,45.0,Left - Inside Foot,Stoppage Time
15,99.8,38.4,2023-06-24 00:30:30.595,0.09148145,Saved,Bartholomew Owogbalor Ogbeche,Hyderabad,Right Foot,Normal,False,Free Kick,,,,From Free Kick,True,False,False,20.26326725876161,85.47,Left - Inside Foot,Stoppage Time
16,116.1,34.9,2023-06-24 00:30:32.193,0.18444449000000002,Off T,Juan Antonio González Fernández,Hyderabad,Left Foot,Half Volley,True,Open Play,,,,From Free Kick,True,True,True,6.420280367709814,37.41,Left - Outside Foot,Stoppage Time
17,101.1,24.4,2023-06-24 00:37:24.706,0.03049218,Saved,Álvaro Vázquez García,Kerala Blasters,Right Foot,Normal,False,Open Play,High Pass,,,From Free Kick,True,False,False,24.506529742091193,50.46,Left - Inside Foot,Stoppage Time
18,99.9,45.2,2023-06-24 00:39:43.529,0.08926629,Saved,Adrián Nicolás Luna Retamar,Kerala Blasters,Right Foot,Normal,False,Free Kick,,,,From Free Kick,True,False,False,20.761743664731046,104.5,Right - Outside Foot,Stoppage Time
19,115.0,32.2,2023-06-24 00:39:46.214,0.23580356,Saved,Marko Lešković,Kerala Blasters,Right Foot,Half Volley,False,Open Play,,,,From Free Kick,True,True,True,9.264987857520373,32.66,Left - Inside Foot,Stoppage Time
20,98.7,54.2,2023-06-24 00:42:17.260,0.020677071,Goal,Sahil Tavora,Hyderabad,Right Foot,Half Volley,True,Open Play,,,,From Free Kick,True,False,False,25.599414055794323,123.69,Right - Outside Foot,Stoppage Time
21,113.2,45.1,2023-06-24 00:44:39.380,0.17265096,Off T,Álvaro Vázquez García,Kerala Blasters,Head,Normal,False,Open Play,High Pass,,,From Free Kick,True,True,True,8.499999999999998,126.87,Right - Head,Stoppage Time
22,103.0,51.4,2023-06-24 00:48:43.927,0.056751974000000004,Blocked,Nishu Kumar Tashni,Kerala Blasters,Right Foot,Normal,False,Open Play,,,,From Free Kick,True,True,True,20.468512403201167,123.85,Right - Outside Foot,Stoppage Time
23,96.6,23.3,2023-06-24 00:04:29.092,0.020250158,Off T,Halicharan Narzary,Hyderabad,Right Foot,Normal,False,Open Play,Ground Pass,,,From Free Kick,True,False,False,28.748043411682826,54.49,Left - Inside Foot,Stoppage Time
24,110.4,36.5,2023-06-24 00:07:25.362,0.058660276000000004,Off T,Bartholomew Owogbalor Ogbeche,Hyderabad,Right Foot,Overhead Kick,True,Open Play,,,,From Free Kick,True,True,True,10.21812115802117,69.97,Left - Inside Foot,Stoppage Time
25,117.2,34.6,2023-06-24 00:11:39.256,0.11749809,Post,Jeakson Singh Thaunaojam,Kerala Blasters,Head,Normal,False,Open Play,High Pass,,,From Free Kick,True,True,True,6.082762530298218,27.41,Left - Head,Stoppage Time
26,104.4,44.5,2023-06-24 00:04:05.668,0.15947139999999999,Blocked,Bartholomew Owogbalor Ogbeche,Hyderabad,Right Foot,Normal,True,Open Play,Ground Pass,,,From Free Kick,True,True,True,16.236070953281764,106.09,Right - Outside Foot,Stoppage Time
27,107.9,26.2,2023-06-24 00:09:31.470,0.05171078,Blocked,Chencho Gyeltshen,Kerala Blasters,Right Foot,Normal,False,Open Play,,,,From Free Kick,True,True,True,18.353473785635238,41.24,Left - Inside Foot,Stoppage Time
28,91.9,15.9,2023-06-24 00:09:48.443,0.0055441223,Off T,Adrián Nicolás Luna Retamar,Kerala Blasters,Right Foot,Normal,False,Open Play,Ground Pass,,,From Free Kick,False,False,False,37.01918421575494,49.38,Left - Inside Foot,Stoppage Time
29,80.9,50.4,2023-06-24 00:12:21.669,0.005248928,Wayward,Asish Rai,Hyderabad,Right Foot,Half Volley,True,Open Play,,,,From Free Kick,True,False,False,40.45948590874579,104.89,Right - Outside Foot,Stoppage Time
30,108.1,40.1,2023-06-24 00:00:15.545,0.7835000000000001,Saved,Marko Lešković,Kerala Blasters,Right Foot,Normal,False,Penalty,,,,From Free Kick,True,True,True,11.900420160649796,90.48,Right - Outside Foot,Stoppage Time
31,108.1,40.1,2023-06-24 00:01:20.280,0.7835000000000001,Goal,João Victor de Albuquerque Bruno,Hyderabad,Right Foot,Normal,False,Penalty,,,,From Free Kick,True,True,True,11.900420160649796,90.48,Right - Outside Foot,Stoppage Time
32,108.1,40.1,2023-06-24 00:04:17.102,0.7835000000000001,Saved,Nishu Kumar Tashni,Kerala Blasters,Right Foot,Normal,False,Penalty,,,,From Free Kick,True,True,True,11.900420160649796,90.48,Right - Outside Foot,Stoppage Time
33,108.1,40.1,2023-06-24 00:04:58.550,0.7835000000000001,Off T,Javier Siverio Toro,Hyderabad,Right Foot,Normal,False,Penalty,,,,From Free Kick,True,True,True,11.900420160649796,90.48,Right - Outside Foot,Stoppage Time
34,108.1,40.1,2023-06-24 00:05:57.110,0.7835000000000001,Goal,Ayush Adhikari,Kerala Blasters,Right Foot,Normal,False,Penalty,,,,From Free Kick,True,True,True,11.900420160649796,90.48,Right - Outside Foot,Stoppage Time
35,108.1,40.1,2023-06-24 00:06:55.461,0.7835000000000001,Goal,Khassa Camara,Hyderabad,Right Foot,Normal,False,Penalty,,,,From Free Kick,True,True,True,11.900420160649796,90.48,Right - Outside Foot,Stoppage Time
36,108.1,40.1,2023-06-24 00:08:00.721,0.7835000000000001,Saved,Jeakson Singh Thaunaojam,Kerala Blasters,Right Foot,Normal,False,Penalty,,,,From Free Kick,True,True,True,11.900420160649796,90.48,Right - Outside Foot,Stoppage Time
37,108.1,40.1,2023-06-24 00:08:58.988,0.7835000000000001,Goal,Halicharan Narzary,Hyderabad,Left Foot,Normal,False,Penalty,,,,From Free Kick,True,True,True,11.900420160649796,90.48,Right - Inside Foot,Stoppage Time
38,104.9,47.9,2023-06-24 00:01:07.524,0.48585358,Off T,Álvaro Vázquez García,Kerala Blasters,Right Foot,Lob,True,Open Play,,,,From Free Kick,True,True,True,17.041713528867916,117.62,Right - Outside Foot,Stoppage Time
39,97.1,52.5,2023-06-24 00:03:44.837,0.027996033,Blocked,Ishan Pandita,Jamshedpur,Right Foot,Normal,False,Open Play,,,,From Free Kick,True,False,False,26.089461473936183,118.63,Right - Outside Foot,Stoppage Time
40,105.6,44.4,2023-06-24 00:08:27.101,0.08510381,Blocked,Nishu Kumar Tashni,Kerala Blasters,Right Foot,Volley,True,Open Play,,,,From Free Kick,True,True,True,15.057224179774973,106.99,Right - Outside Foot,Stoppage Time
